raw_values,node,time_idx,series,node_values
-0.999,-342.553,551,0,-342.553
-0.999,-343.552,552,0,-343.552
-0.999,-344.551,553,0,-344.551
-0.999,-345.55,554,0,-345.55
-0.999,-346.549,555,0,-346.549
-0.999,-347.548,556,0,-347.548
-0.999,-348.547,557,0,-348.547
1,-347.547,558,0,-347.547
-0.999,-348.546,559,0,-348.546
-0.999,-349.545,560,0,-349.545
-0.999,-350.544,561,0,-350.544
-0.999,-351.543,562,0,-351.543
-0.999,-352.542,563,0,-352.542
1,-351.542,564,0,-351.542
-0.999,-352.541,565,0,-352.541
1,-351.541,566,0,-351.541
-0.999,-352.54,567,0,-352.54
-0.999,-353.539,568,0,-353.539
1,-352.539,569,0,-352.539
-0.999,-353.538,570,0,-353.538
-0.999,-354.537,571,0,-354.537
-0.999,-355.536,572,0,-355.536
-0.999,-356.535,573,0,-356.535
-0.999,-357.534,574,0,-357.534
-0.999,-358.533,575,0,-358.533
-0.999,-359.532,576,0,-359.532
-0.999,-360.531,577,0,-360.531
1,-359.531,578,0,-359.531
-0.999,-360.53,579,0,-360.53
-0.999,-361.529,580,0,-361.529
-0.999,-362.528,581,0,-362.528
-0.999,-363.527,582,0,-363.527
-0.999,-364.526,583,0,-364.526
-0.999,-365.525,584,0,-365.525
1,-364.525,585,0,-364.525
-0.999,-365.524,586,0,-365.524
1,-364.524,587,0,-364.524
-0.999,-365.523,588,0,-365.523
-0.999,-366.522,589,0,-366.522
-0.999,-367.521,590,0,-367.521
1,-366.521,591,0,-366.521
-0.999,-367.52,592,0,-367.52
-0.999,-368.519,593,0,-368.519
-0.999,-369.518,594,0,-369.518
-0.999,-370.517,595,0,-370.517
-0.999,-371.516,596,0,-371.516
-0.999,-372.515,597,0,-372.515
-0.999,-373.514,598,0,-373.514
-0.999,-374.513,599,0,-374.513
-0.999,-375.512,600,0,-375.512
1,-374.512,601,0,-374.512
-0.999,-375.511,602,0,-375.511
1,-374.511,603,0,-374.511
-0.999,-375.51,604,0,-375.51
-0.999,-376.509,605,0,-376.509
-0.999,-377.508,606,0,-377.508
1,-376.508,607,0,-376.508
-0.999,-377.507,608,0,-377.507
-0.999,-378.506,609,0,-378.506
1,-377.506,610,0,-377.506
-0.999,-378.505,611,0,-378.505
1,-377.505,612,0,-377.505
-0.999,-378.504,613,0,-378.504
-0.999,-379.503,614,0,-379.503
-0.999,-380.502,615,0,-380.502
-0.999,-381.501,616,0,-381.501
1,-380.501,617,0,-380.501
-0.999,-381.5,618,0,-381.5
1,-380.5,619,0,-380.5
-0.999,-381.499,620,0,-381.499
-0.999,-382.498,621,0,-382.498
-0.999,-383.497,622,0,-383.497
-0.999,-384.496,623,0,-384.496
-0.999,-385.495,624,0,-385.495
-0.999,-386.494,625,0,-386.494
-0.999,-387.493,626,0,-387.493
-0.999,-388.492,627,0,-388.492
-0.999,-389.491,628,0,-389.491
-0.999,-390.49,629,0,-390.49
-0.999,-391.489,630,0,-391.489
-0.999,-392.488,631,0,-392.488
-0.999,-393.487,632,0,-393.487
1,-392.487,633,0,-392.487
-0.999,-393.486,634,0,-393.486
-0.999,-394.485,635,0,-394.485
-0.999,-395.484,636,0,-395.484
-0.999,-396.483,637,0,-396.483
-0.999,-397.482,638,0,-397.482
1,-396.482,639,0,-396.482
-0.999,-397.481,640,0,-397.481
1,-396.481,641,0,-396.481
1,-395.481,642,0,-395.481
1,-394.481,643,0,-394.481
1,-393.481,644,0,-393.481
-0.999,-394.48,645,0,-394.48
-0.999,-395.479,646,0,-395.479
-0.999,-396.478,647,0,-396.478
1,-395.478,648,0,-395.478
-0.999,-396.477,649,0,-396.477
-0.999,-397.476,650,0,-397.476
-0.999,-398.475,651,0,-398.475
-0.999,-399.474,652,0,-399.474
1,-398.474,653,0,-398.474
-0.999,-399.473,654,0,-399.473
1,-398.473,655,0,-398.473
-0.999,-399.472,656,0,-399.472
-0.999,-400.471,657,0,-400.471
1,-399.471,658,0,-399.471
-0.999,-400.47,659,0,-400.47
-0.999,-401.469,660,0,-401.469
-0.999,-402.468,661,0,-402.468
-0.999,-403.467,662,0,-403.467
-0.999,-404.466,663,0,-404.466
-0.999,-405.465,664,0,-405.465
-0.999,-406.464,665,0,-406.464
-0.999,-407.463,666,0,-407.463
